"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5 yr rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","21","394","303","993","895"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","91","1740","1395","993","895"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","212","4030","3550","993","895"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","136","2596","2452","993","895"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","46","872","650","993","895"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","39","746","595","993","895"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","25","473","379","993","895"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","253","4819","4186","993","895"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","1009","1447962","1378987","74843","74649"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","17","24574","22352","74843","74649"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","13","18160","15750","74843","74649"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","432","620239","583183","74843","74649"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","226","324362","312744","74843","74649"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","8","11260","8868","74843","74649"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","4","5219","4516","74843","74649"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","1","975","954","74843","74649"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","45","64364","59602","74843","74649"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","8","11748","11642","74843","74649"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","2","3427","3061","74843","74649"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","17","24402","21678","74843","74649"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","10","14865","13427","74843","74649"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","226","324367","321210","74843","74649"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","971","1553499","1475712","83421","82800"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","16","25470","23005","83421","82800"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","22","34478","30203","83421","82800"
