"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Girls-Value","Girls-Denominator"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Barnet","Local Authority","E09000003","All pupils","All pupils","60","3647","NA","NA","","57","1856","63","1791"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bexley","Local Authority","E09000004","All pupils","All pupils","44","3192","NA","NA","","38","1641","49","1551"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Brent","Local Authority","E09000005","All pupils","All pupils","55","3035","NA","NA","","49","1515","61","1520"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bromley","Local Authority","E09000006","All pupils","All pupils","51","3305","NA","NA","","42","1587","59","1718"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Croydon","Local Authority","E09000008","All pupils","All pupils","45","3844","NA","NA","","35","1885","54","1959"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Ealing","Local Authority","E09000009","All pupils","All pupils","55","2781","NA","NA","","50","1427","61","1354"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Enfield","Local Authority","E09000010","All pupils","All pupils","55","3579","NA","NA","","49","1808","61","1771"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Greenwich","Local Authority","E09000011","All pupils","All pupils","47","2204","NA","NA","","43","1093","52","1111"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Harrow","Local Authority","E09000015","All pupils","All pupils","54","2127","NA","NA","","45","1063","63","1064"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Havering","Local Authority","E09000016","All pupils","All pupils","49","2917","NA","NA","","46","1481","51","1436"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Hillingdon","Local Authority","E09000017","All pupils","All pupils","42","3136","NA","NA","","37","1637","48","1499"
