"Title","Writing attainments for children aged 7 to 11 (key stage 2)"
"Time period","2015/16"
"Location","England"
"Source","Key stage 2 statistics"
"Department","Department for Education"
"Last update","12 January 2017 (revised)"
"
"
Measure,Year,Year_type,Region,Local Authority,LA Code,Ethnicity,Ethnicity type,Gender,Gender_type,Value,Value_type,Denominator
Percentage of pupils reaching the expected standard in writing by ethnicity ,2015 to 2016,Academic year,England,All,E92000001,All,All,All,All/Boys/Girls,74,%,"585,577"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,South Gloucestershire,E06000025,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,138
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Swindon,E06000030,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,63,%,135
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Torbay,E06000027,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,43
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Wiltshire,E06000054,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,148
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,County Durham,E06000047,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,40
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Darlington,E06000005,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,33
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Gateshead,E08000037,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,26
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Hartlepool,E06000001,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,88,%,26
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Middlesbrough,E06000002,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,68,%,192
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Newcastle upon Tyne,E08000021,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,84,%,336
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,North Tyneside,E08000022,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,45
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Northumberland,E06000057,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,36
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Redcar and Cleveland,E06000003,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,18
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,South Tyneside,E08000023,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,89,%,56
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Stockton-on-Tees,E06000004,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,115
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Sunderland,E08000024,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,84,%,107
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Blackburn with Darwen,E06000008,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,895
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Blackpool,E06000009,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,87,%,30
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Bolton,E08000001,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,84,%,793
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Bury,E08000002,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,296
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Cheshire East,E06000049,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,54
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Cheshire West and Chester,E06000050,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,65,%,37
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Cumbria,E10000006,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,41
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Halton,E06000006,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,!
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Knowsley,E08000011,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,35
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Lancashire,E10000017,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,"1,493"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Liverpool,E08000012,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,167
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Manchester,E08000003,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,"1,296"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Oldham,E08000004,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,"1,095"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Rochdale,E08000005,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,692
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Salford,E08000006,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,88,%,78
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Sefton,E08000014,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,37
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,St. Helens,E08000013,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,20
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Stockport,E08000007,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,195
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Tameside,E08000008,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,290
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Trafford,E08000009,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,372
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Warrington,E06000007,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,85,%,68
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Wigan,E08000010,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,34
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Wirral,E08000015,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,90
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Barnsley,E08000016,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,11
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Bradford,E08000032,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,"3,122"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Calderdale,E08000033,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,54,%,411
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Doncaster,E08000017,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,92
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,East Riding of Yorkshire,E06000011,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,18
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,"Kingston upon Hull, City of",E06000010,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,93,%,45
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Kirklees,E08000034,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,"1,400"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Leeds,E08000035,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,"1,010"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,North East Lincolnshire,E06000012,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,69,%,16
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,North Lincolnshire,E06000013,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,86,%,77
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,North Yorkshire,E10000023,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,63
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Rotherham,E08000018,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,244
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Sheffield,E08000019,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,705
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Wakefield,E08000036,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,140
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,York,E06000014,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,29
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Derby,E06000015,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,516
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Derbyshire,E10000007,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,89
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Leicester,E06000016,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,"1,620"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Leicestershire,E10000018,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,543
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Lincolnshire,E10000019,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,90,%,72
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Northamptonshire,E10000021,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,353
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Nottingham,E06000018,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,521
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Nottinghamshire,E10000024,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,208
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Rutland,E06000017,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,!
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Birmingham,E08000025,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,"5,568"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Coventry,E08000026,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,717
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Dudley,E08000027,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,388
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,"Herefordshire, County of",E06000019,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,7
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Sandwell,E08000028,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,"1,215"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Shropshire,E06000051,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,20
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Solihull,E08000029,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,274
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Staffordshire,E10000028,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,304
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Stoke-on-Trent,E06000021,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,66,%,428
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Telford and Wrekin,E06000020,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,141
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Walsall,E08000030,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,860
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Warwickshire,E10000031,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,87,%,329
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Wolverhampton,E08000031,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,620
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Worcestershire,E10000034,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,224
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Bedford,E06000055,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,304
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Cambridgeshire,E10000003,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,217
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Central Bedfordshire,E06000056,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,76
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Essex,E10000012,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,86,%,322
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Hertfordshire,E10000015,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,86,%,963
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Luton,E06000032,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,69,%,"1,335"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Norfolk,E10000020,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,88,%,93
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Peterborough,E06000031,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,498
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Southend-on-Sea,E06000033,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,87
