"Title","Civil Service workforce"
"Location","UK"
"Time period","2018"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Year","Ethnicity","Grade/Rank/Area/Gender/Age","%","Number ","","","","","","","",""
"2017","Chinese","North West","0.3","110","","","","","","","",""
"2017","Chinese","Yorkshire and The Humber","0.2","50","","","","","","","",""
"2017","Chinese","East Midlands","0.1","20","","","","","","","",""
"2017","Chinese","West Midlands","0.2","30","","","","","","","",""
"2017","Chinese","East","0.3","50","","","","","","","",""
"2017","Chinese","London","0.7","410","","","","","","","",""
"2017","Chinese","South East","0.3","70","","","","","","","",""
"2017","Chinese","South West","0.1","40","","","","","","","",""
"2017","Chinese","Wales","0.2","50","","","","","","","",""
"2017","Chinese","Scotland","0.1","30","","","","","","","",""
"2017","Chinese","Northern Ireland","!","!","","","","","","","",""
"2017","Chinese","Unknown","N/A","0","","","","","","","",""
"2017","Mixed","UK","1.5","4,740","","","","","","","",""
"2017","Mixed","North East","0.7","160","","","","","","","",""
"2017","Mixed","North West","1.1","460","","","","","","","",""
"2017","Mixed","Yorkshire and The Humber","1.1","280","","","","","","","",""
"2017","Mixed","East Midlands","1.4","200","","","","","","","",""
"2017","Mixed","West Midlands","1.5","320","","","","","","","",""
"2017","Mixed","East","1.4","240","","","","","","","",""
"2017","Mixed","London","3.1","1,820","","","","","","","",""
"2017","Mixed","South East","1.3","400","","","","","","","",""
"2017","Mixed","South West","1.1","310","","","","","","","",""
"2017","Mixed","Wales","1","240","","","","","","","",""
"2017","Mixed","Scotland","0.6","180","","","","","","","",""
"2017","Mixed","Northern Ireland","0.3","10","","","","","","","",""
"2017","Mixed","Unknown","N/A","10","","","","","","","",""
"2017","Other","UK","0.5","1,750","","","","","","","",""
"2017","Other","North East","0.2","40","","","","","","","",""
"2017","Other","North West","0.3","130","","","","","","","",""
"2017","Other","Yorkshire and The Humber","0.3","90","","","","","","","",""
"2017","Other","East Midlands","0.4","60","","","","","","","",""
"2017","Other","West Midlands","0.5","100","","","","","","","",""
"2017","Other","East","0.6","110","","","","","","","",""
"2017","Other","London","1.4","790","","","","","","","",""
"2017","Other","South East","0.5","140","","","","","","","",""
"2017","Other","South West","0.4","110","","","","","","","",""
