"Title","Temporary exclusions by ethnicity and local authority"
"Location","England"
"Time period","2016/17"
"Data source","Permanent and fixed-period exclusions in England: 2016 to 2017"
"Data source link","https://www.gov.uk/government/statistics/permanent-and-fixed-period-exclusions-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19/07/2018"

"Ethnicity","Local authority","%"
"White","Herefordshire","3.78"
"White","Worcestershire","3.54"
"White","Kent","4.64"
"White","Medway","7.24"
"White","Lancashire","4.64"
"White","Blackburn with Darwen","3.47"
"White","Blackpool","8.03"
"White","Nottinghamshire","5.55"
"White","Nottingham","8.15"
"White","Shropshire","4.51"
"White","Telford and Wrekin","14.22"
"White","Cheshire East","4.08"
"White","Cheshire West and Chester","2.83"
"White","Cornwall","3.48"
"White","Cumbria","5.29"
"White","Gloucestershire","4.32"
"White","Hertfordshire","4.44"
"White","Isle of Wight","6.15"
"White","Lincolnshire","4.84"
"White","Norfolk","4.74"
"White","Northamptonshire","4.70"
"White","Northumberland","3.96"
"White","Oxfordshire","4.51"
"White","Somerset","7.31"
"White","Suffolk","4.53"
"White","Surrey","3.61"
"White","Warwickshire","3.49"
"White","West Sussex","3.87"
"Other","City of London","0.00"
"Other","Camden","4.11"
"Other","Greenwich","2.18"
"Other","Hackney","3.74"
"Other","Hammersmith and Fulham","4.35"
"Other","Islington","2.24"
"Other","Kensington and Chelsea","5.99"
"Other","Lambeth","1.34"
"Other","Lewisham","1.99"
"Other","Southwark","1.72"
"Other","Tower Hamlets","0.92"
"Other","Wandsworth","2.60"
"Other","Westminster","6.49"
"Other","Barking and Dagenham","1.26"
"Other","Barnet","3.27"
"Other","Bexley","3.35"
"Other","Brent","3.65"
"Other","Bromley","1.46"
"Other","Croydon","2.27"
"Other","Ealing","2.90"
"Other","Enfield","4.46"
"Other","Haringey","3.03"
"Other","Harrow","5.05"
"Other","Havering","5.33"
"Other","Hillingdon","2.25"
"Other","Hounslow","3.27"
"Other","Kingston upon Thames","1.05"
"Other","Merton","1.37"
"Other","Newham","2.79"
"Other","Redbridge","2.58"
"Other","Richmond upon Thames","2.25"
"Other","Sutton","4.11"
"Other","Waltham Forest","3.84"
"Other","Birmingham","2.78"
"Other","Coventry","1.64"
"Other","Dudley","5.08"
"Other","Sandwell","1.70"
"Other","Solihull","4.07"
"Other","Walsall","2.76"
"Other","Wolverhampton","4.68"
