"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","All","Boys","Girls"
"Mixed","Kent","55","53","57"
"Mixed","Kingston upon Hull, City of","41","32","56"
"Mixed","Kingston upon Thames","64","66","64"
"Mixed","Kirklees","30","23","37"
"Mixed","Knowsley","!","!","!"
"Mixed","Lambeth","45","43","49"
"Mixed","Lancashire","34","25","42"
"Mixed","Leeds","41","40","42"
"Mixed","Leicester","29","26","31"
"Mixed","Leicestershire","36","28","45"
"Mixed","Lewisham","47","39","56"
"Mixed","Lincolnshire","55","!","!"
"Mixed","Liverpool","27","23","30"
"Mixed","Luton","25","22","28"
"Mixed","Manchester","30","25","34"
"Mixed","Medway","39","29","46"
"Mixed","Merton","40","36","44"
"Mixed","Middlesbrough","25","18","29"
"Mixed","Milton Keynes","46","48","44"
"Mixed","Newcastle upon Tyne","52","42","62"
"Mixed","Newham","50","47","53"
"Mixed","Norfolk","35","28","43"
"Mixed","North East Lincolnshire","32","28","39"
"Mixed","North Lincolnshire","37","!","!"
"Mixed","North Somerset","47","41","53"
