"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Cumbria","Local Authority","E10000006","All pupils","All pupils","49","4987","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Halton","Local Authority","E06000006","All pupils","All pupils","49","1335","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Knowsley","Local Authority","E08000011","All pupils","All pupils","39","1103","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Lancashire","Local Authority","E10000017","All pupils","All pupils","50","10512","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Liverpool","Local Authority","E08000012","All pupils","All pupils","47","3919","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Manchester","Local Authority","E08000003","All pupils","All pupils","45","2312","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Oldham","Local Authority","E08000004","All pupils","All pupils","46","1901","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Rochdale","Local Authority","E08000005","All pupils","All pupils","48","1601","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Salford","Local Authority","E08000006","All pupils","All pupils","46","1832","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Sefton","Local Authority","E08000014","All pupils","All pupils","50","2896","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","St. Helens","Local Authority","E08000013","All pupils","All pupils","49","1675","NA","NA"
